Arquivo,Teste,PWM,K,tau,theta
monitor_output_test6.txt,2,20,0.1,0.09934300000000107,2.9184159999999997
monitor_output_test6.txt,3,30,0.2,0.12514299999999956,1.8793790000000001
monitor_output_test6.txt,4,40,0.225,0.10457099999999997,1.057722
monitor_output_test6.txt,5,50,0.26,0.11682900000000007,0.7459790000000002
monitor_output_test6.txt,6,60,0.2833333333333333,0.12814300000000056,0.5223509999999996
monitor_output_test6.txt,7,70,0.3,0.12814200000000042,0.46843699999999977
monitor_output_test6.txt,8,80,0.30025,0.12617099999999937,0.47383600000000037
monitor_output_test6.txt,9,90,0.3111111111111111,0.1261720000000004,0.4090359999999995
monitor_output_test6.txt,10,100,0.32,0.13371400000000033,0.3570070000000003
monitor_output_test6.txt,11,110,0.32727272727272727,0.13988500000000048,0.3211789999999999
monitor_output_test6.txt,12,120,0.325,0.1419429999999995,0.2778929999999997
monitor_output_test6.txt,13,130,0.33076923076923076,0.17074300000000076,0.21009299999999964
monitor_output_test6.txt,14,140,0.3314285714285714,0.1457139999999999,0.28063600000000033
monitor_output_test6.txt,15,150,0.3318666666666667,0.17357200000000006,0.2156640000000003
monitor_output_test6.txt,16,160,0.33981249999999996,0.14999999999999947,0.292465
monitor_output_test6.txt,17,170,0.3352941176470588,0.15428599999999992,0.29246399999999984
monitor_output_test6.txt,18,180,0.3367222222222222,0.18214299999999994,0.2492650000000003
monitor_output_test6.txt,19,190,0.33868421052631575,0.18214299999999994,0.28080699999999936
monitor_output_test6.txt,20,200,0.3383,0.19071400000000072,0.284751
monitor_output_test6.txt,21,210,0.3395238095238095,0.21642799999999962,0.2809790000000003
monitor_output_test6.txt,22,220,0.3421363636363636,0.284999,0.24557899999999933
monitor_output_test6.txt,23,230,0.3422173913043478,0.2592850000000002,0.30660799999999977
monitor_output_test6.txt,24,240,0.3405416666666667,0.34499999999999975,0.2538070000000001
monitor_output_test6.txt,25,250,0.33072,0.38142800000000054,0.26546499999999984
monitor_output_test5.txt,2,20,0.1,2.504142999999999,3.6887300000000005
monitor_output_test5.txt,3,30,0.16666666666666666,0.10457099999999997,1.5767220000000002
monitor_output_test5.txt,4,40,0.225,0.1182850000000002,0.7765789999999999
monitor_output_test5.txt,5,50,0.26,0.13568599999999975,0.5849210000000005
monitor_output_test5.txt,6,60,0.2833333333333333,0.12814299999999967,0.6699510000000002
monitor_output_test5.txt,7,70,0.3,0.1261720000000004,0.5855219999999992
monitor_output_test5.txt,8,80,0.3,0.1518000000000006,0.30472199999999994
monitor_output_test5.txt,9,90,0.3111111111111111,0.13405699999999943,0.33000700000000016
monitor_output_test5.txt,10,100,0.3178,0.1419429999999995,0.3211789999999999
monitor_output_test5.txt,11,110,0.3181818181818182,0.1357709999999992,0.31363699999999994
monitor_output_test5.txt,12,120,0.325,0.13165700000000058,0.35520700000000005
monitor_output_test5.txt,13,130,0.3269230769230769,0.14194200000000023,0.2816650000000003
monitor_output_test5.txt,14,140,0.3322142857142857,0.14357100000000056,0.2904939999999998
monitor_output_test5.txt,15,150,0.3333333333333333,0.1607150000000006,0.24712199999999918
monitor_output_test5.txt,16,160,0.332125,0.17357099999999992,0.231522
monitor_output_test5.txt,17,170,0.3375294117647059,0.17571400000000015,0.24532199999999982
monitor_output_test5.txt,18,180,0.3375,0.18214299999999994,0.25320699999999974
monitor_output_test5.txt,19,190,0.3348947368421053,0.17571400000000015,0.2886929999999994
monitor_output_test5.txt,20,200,0.33675,0.17571400000000015,0.3300939999999999
monitor_output_test5.txt,21,210,0.3345238095238095,0.1885710000000005,0.324179
monitor_output_test5.txt,22,220,0.338,0.28928499999999957,0.24377899999999997
monitor_output_test5.txt,23,230,0.33917391304347827,0.24642799999999987,0.316465
monitor_output_test5.txt,24,240,0.34025,0.2871429999999995,0.31843600000000016
monitor_output_test5.txt,25,250,0.32272,0.3214290000000002,0.2948649999999997
monitor_output_test10.txt,2,20,0.1,0.09934300000000107,3.8597219999999988
monitor_output_test10.txt,3,30,0.2,0.12685700000000022,1.3421219999999998
monitor_output_test10.txt,4,40,0.25,0.11657100000000042,0.872579
monitor_output_test10.txt,5,50,0.26,0.12625699999999984,0.5042650000000002
monitor_output_test10.txt,6,60,0.2833333333333333,0.12814200000000042,0.4827519999999996
monitor_output_test10.txt,7,70,0.3,0.13997100000000007,0.35872299999999946
monitor_output_test10.txt,8,80,0.3125,0.1261720000000004,0.44683600000000023
monitor_output_test10.txt,9,90,0.3111111111111111,0.1281439999999998,0.3714070000000005
monitor_output_test10.txt,10,100,0.32,0.13782799999999984,0.32872199999999996
monitor_output_test10.txt,11,110,0.32727272727272727,0.13577100000000009,0.33815099999999987
monitor_output_test10.txt,12,120,0.32975,0.13988600000000062,0.28732199999999963
monitor_output_test10.txt,13,130,0.33076923076923076,0.13577100000000009,0.28732199999999963
monitor_output_test10.txt,14,140,0.3325714285714286,0.14142899999999958,0.3062650000000007
monitor_output_test10.txt,15,150,0.3394666666666667,0.1692860000000005,0.22740699999999947
monitor_output_test10.txt,16,160,0.34199999999999997,0.17785700000000038,0.22354999999999947
monitor_output_test10.txt,17,170,0.34029411764705886,0.16285599999999967,0.26683700000000066
monitor_output_test10.txt,18,180,0.3406666666666667,0.21857099999999985,0.21335000000000015
monitor_output_test10.txt,19,190,0.34084210526315795,0.1907160000000001,0.2551779999999999
monitor_output_test10.txt,20,200,0.34165,0.19500000000000028,0.2689779999999997
