PWM,K_mean,K_std,tau_mean,tau_std,theta_mean,theta_std
20,0.0944,0.0167,0.3685,0.8009,4.7247,1.8356
30,0.1815,0.0176,0.1141,0.0107,1.717,0.3595
40,0.2275,0.0142,0.1143,0.0052,1.0745,0.6217
50,0.256,0.0126,0.1234,0.0063,0.7398,0.1452
60,0.2783,0.0112,0.1276,0.0024,0.5828,0.0719
70,0.2953,0.0135,0.1299,0.0041,0.5131,0.0706
80,0.3025,0.0115,0.1341,0.0105,0.4275,0.0911
90,0.3107,0.0124,0.1392,0.0149,0.3591,0.0547
100,0.3168,0.0133,0.1356,0.0028,0.3623,0.035
110,0.3222,0.0112,0.1405,0.011,0.327,0.049
120,0.3271,0.0085,0.1428,0.0069,0.3003,0.0406
130,0.3282,0.0055,0.145,0.0115,0.2713,0.0335
140,0.3296,0.0037,0.1478,0.0073,0.2772,0.0341
150,0.331,0.0057,0.1607,0.0103,0.2505,0.0318
160,0.3362,0.0047,0.1633,0.0127,0.2569,0.0337
170,0.3351,0.0037,0.1661,0.0139,0.2677,0.0321
180,0.3367,0.0041,0.1723,0.0195,0.2801,0.0349
190,0.3354,0.0036,0.1796,0.0188,0.2861,0.0284
200,0.3358,0.0045,0.1922,0.0147,0.2846,0.0322
210,0.3368,0.0043,0.2051,0.0207,0.2949,0.0272
220,0.339,0.0036,0.2576,0.0317,0.2737,0.0315
230,0.339,0.0039,0.2651,0.0318,0.2968,0.0345
240,0.3414,0.0055,0.3334,0.0258,0.2757,0.0222
250,0.3345,0.0119,0.3465,0.0358,0.301,0.0329
